name,name_en,type,address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time
Их Монгол Good price АТМ,Good Price Ikh Mongol ATM,atm,26-р хороо  Хүннүгийн гудамж  Их Монгол Good price,26th Khoroo  Khunnu Street  Good Price Ikh Mongol,Даваа-Ням 08:30-23:00 цаг,Mon-Sun 8:30am-12pm,1800-1888,1,1,1,1,1,1,1,8:30:00 AM,11:00:00 PM
Их монгол өргөтгөл  Экспресс банк АТМ,Ikh mongol branch  Express bank ATM,atm,11-р хороо  Их монгол улсын гудамж  Их монгол Плаза  Хас банк Их монгол өргөтгөл ,11st khoroo  Ikh mongol plaza  Ikh mongol branch Xac bank ,Даваа-Ням 09:00-20:00 цаг,Mon-Sun 9am-8pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Их монгол өргөтгөл  Экспресс банк,Ikh mongol branch  Express bank,atm,11-р хороо  Их монгол улсын гудамж  Их монгол Плаза  Хас банк Их монгол өргөтгөл ,11st khoroo  Ikh mongol plaza  Ikh mongol branch Xac bank ,Даваа-Ням 09:00-20:00 цаг,Mon-Sun 9am-8pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Миний дэлгүүр АТМ,Minii supermarket ATM,atm,12-р хороо  1-р хороолол  Москвагийн гудамж  Саппоро Миний сүлжээ дэлгүүр ,12th khoroo  1st microdistrict  Sappora Minii supermarket ,Даваа-Ням 08:00-22:00 цаг,Mon-Sun 8am-10pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,10:00:00 PM
Миний дэлгүүр Шар хад АТМ,Minii Delguur-Shar Khad ATM,atm,9-р хороо  Шар хадны эцэс  Миний сүлжээ дэлгүүр,9th Khoroo  Shar Khad  Minii Delguur,Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:00:00 PM
Асайт-Миний дэлгүүр АТМ,Asait-Minii Delguur АТМ,atm,22-р хороо  Б.Доржийн гудамж  Асайт худалдааны төв  Миний сүлжээ дэлгүүр ,22th Khoroo  B. Dorj Street  Asait Shopping Center  Minii Delguur,Даваа-Ням 08:00-23:00 цаг,"Mon-Sun 8am-11pm
",1800-1888,1,1,1,1,1,1,1,9:00:00 AM,11:00:00 PM
Саппоро Миний дэлгүүр  Экспресс АТМ ,Sapporo Minii supermarket  Express ATM ,atm,12-р хороо  1-р хороолол  Москвагийн гудамж  Саппоро Миний сүлжээ дэлгүүр ,12th khoroo  1st microdistrict  Sappora Minii supermarket ,Даваа-Ням 08:00-22:00 цаг,Mon-Sun 8am-10pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,10:00:00 PM
Асайт Миний дэлгүүр  Экспресс АТМ ,Asait Minii Delguur  Express ATM,atm,22-р хороо  Б.Доржийн гудамж  Асайт худалдааны төв  Миний сүлжээ дэлгүүр ,22th Khoroo  B. Dorj Street  Asait Shopping Center  Minii Delguur,Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,11:00:00 PM
Шинэ сонголт тооцооны төв  Экспресс банк,Shine songolt branch  Express bank,atm,ХУД  3-р хороо  Шинэ сонголт худалдааны төв  Шинэ сонголт тооцооны төв ,3rd khoroo  Shine songolt shopping center  Shine songolt branch Xac bank ,Даваа-Ням 09:00-20:00 цаг,Mon-Sun 9am-8pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Мишээл худалдааны төв  Экспресс АТМ,Misheel expo shopping center,atm,2-р хороо  Чингисийн өргөн чөлөө  Мишээл худалдааны төв,2nd khoroo  Chinggis avenue  Misheel expo shopping center ,Даваа-Ням 09:00-19:00 цаг,Mon-Sun 9am78pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,7:00:00 PM
Монел фунтик хүнсний дэлгүүр АТМ,Monel Funtik Grocery Store АТМ,atm,5-р хороо  Баруун Алтан-Өлгий гудамж  Монел фунтик хүнсний дэлгүүр ,5th Khoroo  Baruun Altan Ulgii Street  Monel Funtik Grocery Store ,5th Khoroo  Baruun Altan Ulgii Street  Monel Funtik Grocery Store ,Mon-Sun 9am-12pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,11:59:00 PM
Нарны хороолол М март  Экспресс АТМ,Narnii khoroolol M mart  Express ATM,atm,3-р хороо Нарны хороолол М март дэлгүүр ,3st khoroo  narnii khoroolol M mart,Даваа-Ням 09:00-21:00 цаг,Mon-Sun 9am-21pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,9:00:00 PM
Эмээлт Шонхор төв  Экспресс АТМ,Emeelt Shonkhor center  Express ATM,atm,32-р хороо  Эмээлт зам  Хүй 7 худаг явах замд  Шонхор төв ,32 khoroo  Emeelt road  Emeelt Shonkhor center,Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:00:00 PM
Нарантуул-2 зах  Экспресс АТ М,Narantuul 2 market  Express ATM ,atm,12-р хороо  Дэнжийн 1000 гудамж  Нарантуул-2 зах ,12 khoroo  Denjiin 1000 road  Narantuul 2 market ,"Мягмар-Ням 08:00-19:00 цаг
Даваа гариг амарна","Tue-Sun 8am-7pm
Monday closed",1800-1888,0,1,1,1,1,1,1,8:00:00 AM,7:00:00 PM
Мишээл Вокинг стрийт АТМ,Misheel Center Walking street АТМ,atm,19-р хороо  Чингисийн өргөн чөлөө  Мишээл Вокинг стрийт,19th Misheel Center Walking street,Даваа-Ням 08:00-22:00 цаг,Mon-Sun 8am-10pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,9:00:00 PM
Нисдэг машин авто худалдааны төв,Nisdeg mashin auto market ,atm,5-р хороо  Их тойруу  Тасганы овоо зүүн талд Нисдэг машин авто худалдааны төв,5th khoroo  Ikh toiruu  Nisdeg mashin autom market ,Даваа-Ням 10:00-19:00 цаг,Mon-Sun 10am-7pm,1800-1888,1,1,1,1,1,1,1,10:00:00 AM,7:00:00 PM
